白名单,#genre#
hy-动漫解说02,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=8494&tk=7877e7cc41c7
hy-动漫解说04,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=1724&tk=7877e7cc41c7
hy-动漫解说05,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=6923&tk=7877e7cc41c7
hy-动漫解说06,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=1125&tk=7877e7cc41c7
hy-动漫解说07,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=4989&tk=7877e7cc41c7
hy-动漫解说08,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=3244&tk=7877e7cc41c7
hy-动漫解说09,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=9277&tk=7877e7cc41c7
YY-动漫-遮天,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=5955&tk=7877e7cc41c7
YY-动漫-吞噬星空,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=8831&tk=7877e7cc41c7
YY-动漫-仙逆,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=9290&tk=7877e7cc41c7
YY-动漫-仙逆+,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=1300&tk=7877e7cc41c7
YY-动漫-武神主宰,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=0025&tk=7877e7cc41c7
YY-动漫-06,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=5410&tk=7877e7cc41c7
YY-动漫-07,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=6225&tk=7877e7cc41c7
YY-动漫-08,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=7592&tk=7877e7cc41c7
YY-动漫-09,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=6842&tk=7877e7cc41c7
YY-动漫-动画片,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=6610&tk=7877e7cc41c7
YY-动漫-动漫2,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=8525&tk=7877e7cc41c7
YY-动漫-斗罗斗破,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=9815&tk=7877e7cc41c7
YY-动漫-斗罗和斗破,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=9196&tk=7877e7cc41c7
YY-动漫-灌篮高手,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=2471&tk=7877e7cc41c7
YY-动漫-灌篮高手动漫,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=8620&tk=7877e7cc41c7
YY-动漫-国漫,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=2390&tk=7877e7cc41c7
YY-动漫-国漫动漫,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=8579&tk=7877e7cc41c7
YY-动漫-国漫动漫片,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=5779&tk=7877e7cc41c7
YY-动漫-国漫热播,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=8422&tk=7877e7cc41c7
YY-动漫-萌鸡小队Ⅰ,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=0431&tk=7877e7cc41c7
YY-动漫-神厨小福贵,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=7819&tk=7877e7cc41c7
YY-动漫-熊出没之探险日记,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=8990&tk=7877e7cc41c7
YY-动漫-妖神记,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=1989&tk=7877e7cc41c7
YY-动漫-妖神记+,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=1260&tk=7877e7cc41c7
YY-动漫-妖神记之黑狱篇,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=4903&tk=7877e7cc41c7
YY-动漫-宇宙护卫队,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=1393&tk=7877e7cc41c7
hy-游戏-F16kfdVUAb,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=2965&tk=7877e7cc41c7
hy-游戏-HAYOUNG,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=2212&tk=7877e7cc41c7
hy-游戏-JIWON,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=8548&tk=7877e7cc41c7
hy-游戏-JR,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=1155&tk=7877e7cc41c7
hy-游戏-NAGYUNG,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=9690&tk=7877e7cc41c7
hy-游戏-SemenixGaming,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=2287&tk=7877e7cc41c7
hy-游戏-宝可梦剑盾攻略,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=9983&tk=7877e7cc41c7
hy-游戏-灿烈,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=8929&tk=7877e7cc41c7
hy-游戏-吃鸡,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=0054&tk=7877e7cc41c7
hy-游戏-仇仟璃,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=1378&tk=7877e7cc41c7
hy-游戏-何洛洛,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=0715&tk=7877e7cc41c7
hy-游戏-俊轩,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=5937&tk=7877e7cc41c7
hy-游戏-刘扬扬,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=3439&tk=7877e7cc41c7
hy-游戏-毛豆探片,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=2833&tk=7877e7cc41c7
hy-游戏-旼炫,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=6739&tk=7877e7cc41c7
hy-游戏-圣逗事,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=8411&tk=7877e7cc41c7
hy-游戏-世勋,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=3891&tk=7877e7cc41c7
hy-游戏-思思吖,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=7682&tk=7877e7cc41c7
hy-游戏-网鱼网咖城市争霸赛,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=0735&tk=7877e7cc41c7
hy-游戏-未知,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=6113&tk=7877e7cc41c7
hy-游戏-张颜齐,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=2058&tk=7877e7cc41c7
hy-游戏-赵瑾尧,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=3564&tk=7877e7cc41c7
hy-游戏-赵磊,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=1668&tk=7877e7cc41c7
28AI智慧赛马,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=3985&tk=7877e7cc41c7
Channel5,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=4047&tk=7877e7cc41c7
Channel8,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=3921&tk=7877e7cc41c7
ChannelU,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=1011&tk=7877e7cc41c7
myTVSUPER18,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=7980&tk=7877e7cc41c7
PopC,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=1847&tk=7877e7cc41c7
ROCKAction,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=1339&tk=7877e7cc41c7
TVBPlus,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=4303&tk=7877e7cc41c7
tvN,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=7706&tk=7877e7cc41c7
娱乐新闻,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=5521&tk=7877e7cc41c7
日本全天新闻,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=1064&tk=7877e7cc41c7
明珠剧集,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=7157&tk=7877e7cc41c7
翡翠剧集,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=8944&tk=7877e7cc41c7
翡翠综合,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=4089&tk=7877e7cc41c7
黄金翡翠,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=2873&tk=7877e7cc41c7
i-Fun动漫,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=0567&tk=7877e7cc41c7
LoveNature,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=4160&tk=7877e7cc41c7
viutv99,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=0147&tk=7877e7cc41c7
viutv696,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=8484&tk=7877e7cc41c7
Animax,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=8177&tk=7877e7cc41c7
AstroAOD,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=3000&tk=7877e7cc41c7
AstroiQIYI,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=2990&tk=7877e7cc41c7
AstroQJ,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=3554&tk=7877e7cc41c7
AstroXingHe,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=0849&tk=7877e7cc41c7
DW,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=2031&tk=7877e7cc41c7
France24,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=3781&tk=7877e7cc41c7
KIX,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=5560&tk=7877e7cc41c7
LoveNature,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=2522&tk=7877e7cc41c7
NHKWorld-Japan,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=6002&tk=7877e7cc41c7
NHK东京総合,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=6333&tk=7877e7cc41c7
NickJr,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=8237&tk=7877e7cc41c7
Nickelodeon,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=8942&tk=7877e7cc41c7
ZooMoo,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=2882&tk=7877e7cc41c7
东方卫视国际频道,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=3402&tk=7877e7cc41c7
one,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=1574&tk=7877e7cc41c7
HBOCINEMAX,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=7353&tk=7877e7cc41c7
1905极限反转,http://43.138.11.122:215/cctv.php?id=1905a
1905环球经典,http://43.138.11.122:215/cctv.php?id=1905b
cctv1综合,http://159.75.85.63:36666/migu/608807420.m3u8?migutoken=eeb1112e872459659520e2370334cd123f857823a9908b2271eb845146971c4254f0cdcae55f43745cfde667f854522162359977c5f0e5d93ea045257003dfe585c98c86debbbf377ecd8786a7
cctv2财经,http://159.75.85.63:36666/migu/631780532.m3u8?migutoken=5a6bfb72c702864ff54769daebcc1686d6ef04ce8342bf9ebb126c2f17310efb10a29d96276c99b8e54f6fa68e3d55d80707140f65d2c6dbaa2986154e2706f19965dc4c00cf32068571b0ca12
cctv3综艺,http://159.75.85.63:36666/migu/624878271.m3u8?migutoken=6d52b05ffb543af8ed09bcc27217fd7cb97716e4bf0b836535ea16f276fa18eb1f6c162e9ab530b79a7a8ad2071a0d276a93c56b187d3773f6be483773bf7165758d85cd4440706c2270545502
cctv4中文国际,http://159.75.85.63:36666/migu/631780421.m3u8?migutoken=afcdd5605aa5874bbc70bfc43b14edbb1c589dbdd2562b52f282fb111a206c8c2db4b0be09e2e3c36961f1ad151a7590524fda6a1eb929d33330457425eb9c33d300c036584aef8095ae1699ca
cctv5体育,http://159.75.85.63:36666/migu/641886683.m3u8?migutoken=8b4cbcc8e1ae07257187c3ae271cffb5971ca469bd7167ba34812b2b5331dd0f4ae7ccf0e8b9d8924da04a5204f48bc0421871bd256e263666584b0235cf2fcea6e05afe0be0d480d1368cacaf
cctv5+体育赛事,http://159.75.85.63:36666/migu/641886773.m3u8?migutoken=3368be112eb26a86a0fced5d5667b4532f50a1ef5a54e2a325ed87bfdf4e632382ad1ac8507a10035459a20ed8d4e33f6f273149e488f8d4752b19c7ce3db072606b1b73c25831de133c5ffb53
cctv6电影,http://159.75.85.63:36666/migu/624878396.m3u8?migutoken=2bb1e29845d48c77fd7dc99a6baa143feecf36b5a8a67bc15d3846ea840cf4a191fef94ae650ee41d9d654507ed7ed61a9a9494284cbb7782cec259e0e8fd0471dafb06d6bb93a7579b5ee08f3
cctv7国防军事,http://159.75.85.63:36666/migu/673168121.m3u8?migutoken=53648363c115e150cec450ca403d9b7951eb9260f43ae345aa551d8595ffb7236d9833f76531dbe425b0245cc6fe8e56ff3604e978c6cdd48b40bb964661bca6f235b95cf4fc4539dff4e2c90a
cctv8电视剧,http://159.75.85.63:36666/migu/624878356.m3u8?migutoken=ba01b0df0eb6fc5baf928f6457259284cef44c1e19838572ae47d5d9cc06588ee9e63d0f9bfd1d9073f24656ea3b8d2fdbf2dc7e542fa3a840e8ea429ecd66ba8808d803f8cfca593c30ea5ee7
cctv9纪录,http://159.75.85.63:36666/migu/673168140.m3u8?migutoken=1333a0ca144a0e92c5065c3a66bc3f44ca5eb1f5ded736ac06c5214d6c54431ee178ae321cfdaf0bf4aed7fab3a94182ce6b0b9e70aee10e9f7e2c861810cab37e8350465c35a86bd1eb578c0e
cctv10科教,http://159.75.85.63:36666/migu/624878405.m3u8?migutoken=763c699d2a8222b6d4a5a4259d9a2b281ac507a835e38e7ddacc8dc61c86f45b5c2d187ae07382030348209a3c665ada1b0260e198e7066260c5b5c10f5a5298852721fea1ce23ea333390b7c5
cctv11戏曲,http://159.75.85.63:36666/migu/667987558.m3u8?migutoken=0cd0cc5e9e9131769873e44212bc155f404331dbedb01884f500e0c17c5b2b8aebac1b2ef69fcc255ae175b8a0281b0cd2e39c55c6a536fcb9032eeb56254eade1194441fa33d435028328b641
cctv12社会与法,http://159.75.85.63:36666/migu/673168185.m3u8?migutoken=d451172c1fced180363f22272b033dc29e67738eb45888da2350adc1a34118499b25eaa548623485b9df7e59c84b6299a2f01070ad1b8511220aa814295b9893761de3ac47e7c919b8d4bf0687
cctv13新闻,http://159.75.85.63:36666/migu/608807423.m3u8?migutoken=78362e7e7f944b1597d3db4af4d512d16e0ba963755b97615103f28c9abd71e05fe530c1586ae6e083f03cefc4d352854b0a89dba90f273c9891b1b05cf17edd4f16ab8fff6cb48901e9e6d545
cctv14少儿,http://159.75.85.63:36666/migu/624878440.m3u8?migutoken=f9e77b8bc54e22e3219b2dc7e51b1c4c5c55a53e4d5ff04c38c2d9c83ee227d7c63eb715726623a36d70ff8787d88b0befa341f6426ac78a36bf29820359ff9ca17d9262cef933a0fa59264dc4
cctv15音乐,http://159.75.85.63:36666/migu/673168223.m3u8?migutoken=363d6e39ef348bbc2921e313a349892146eb88e148a4674e45c293fa3702d04624c59f581d24056513b2fcd875b7fb837ab8725f9e75ad060965dc625dbca5570662c921b5443689dfb1d5de5e
cctv17农业农村,http://159.75.85.63:36666/migu/673168256.m3u8?migutoken=ff14e0d8f326bd4db09b0eb5a513de9411ca4011a7e89e4417cabf859c14cbee83ee0f279c82f6acaa8cb5d80c679f0cf904489b9ff0f427704557360c46398bf06cdfce02aabab54e2da59e75
cctv4欧洲,http://159.75.85.63:36666/migu/608807419.m3u8?migutoken=901e49a817078eb73fed1223eed364366d8c3663974893782c2753201e021a1229b8a80affc72d8cc1ff11799ac7512c3d76689cce6f2922fd3c80bb5af0c7656134726059e0a19051de5600a1
cctv4美洲,http://159.75.85.63:36666/migu/608807416.m3u8?migutoken=6e63bb957e7a7a586c3bb9e034114eed7600d1f78d593144e513300359c43b10a47bed77394dfaa20f821c9c3fa2492874691f480632ce24cf1f9c68fdb5d9de9c8b27ef26d83b757654bd8fb6
cctv9documentary,http://159.75.85.63:36666/migu/609006487.m3u8?migutoken=95354d7d948baf9dce46557cd0bcf476badd6e559417913b0ee929c162af2cf60beb200eac579888a33016fbcfc130a1449543381f9aeba1a0bdcc7fc68fb2c573343e1b9dd68b39e6c266b9bc
cctv阿拉伯语,http://159.75.85.63:36666/migu/609154345.m3u8?migutoken=aceca31d6abd217be1a02187c0a20e96c4411e6e93727bb9638452babf83498b972c74168bcbdfbb4e54d90207a1464be39a6ab2ad9f7db52f2265fd5a13893836bafe2d97a7f9f9d66979bab6
cctv西班牙语,http://159.75.85.63:36666/migu/609006450.m3u8?migutoken=7d2101f3817f71d2073984ff4ce8832515039ca849bea2917f938a56a87d1c2351ff38e4310ac0d236c2e3fcff1470fd5638fab41bbb71f698a3af5967e86fbc4c3622ef9234d608542bb74c07
cctv法语,http://159.75.85.63:36666/migu/609006476.m3u8?migutoken=0e801e1d87a9fec14c69505c87a1e193ebfa6cd4ae82c1f0bf01a713ce5a9e51e6830253bcb861cdc2b86f06794cb3e47cc609dbfff33bb523c6ed5bc315e08ff488c9f3b8e4435854ab8b6695
cctv俄语,http://159.75.85.63:36666/migu/609006446.m3u8?migutoken=e36eae7b6bc043fcfa41956bc837c39d303a0ed7c38e487f979b14af2ff489644576c8f6e997b183a492faf696f99a9f004afb8c2b965cf75c604d0920638cc5e27d3e2761c3996b99c01fe1ef
cctv发现之旅,http://159.75.85.63:36666/migu/624878970.m3u8?migutoken=896f19a95a2e23607ca99eeccf1c42512ba527a9273bc58287e28d37e43b1455ee017605b1a87c0849062fddee36d9c2aaee6d74eab9a8e754d9099f32532fdbd5ad12ebba94d40b41b163e19e
中学生,http://159.75.85.63:36666/migu/708869532.m3u8?migutoken=66e595940bdd77aa62020d0d4b2b1e058adeda27f97d1c40044a9e7905312d3a5c8f7dc10cc2784a4c09642ee82c9e0a35306c7f02d20b9f375c2ef2826b51b0d75356c6654e8624eafbb94a8f
cgtn,http://159.75.85.63:36666/migu/609017205.m3u8?migutoken=296930bbfcd367864835745b08aef6d5c1531fa51547e3b0b584e52aa42b4da6045fa3975d72b58d823b96201d97bdd60e915950751cec50e221624fe6f4cea38a64d8d069dd28633cc6c5347b
海峡卫视,http://159.75.85.63:36666/migu/849119120.m3u8?migutoken=c49368de563e80e8accb83b5a7d55813053cf7495b79c078daddb11f00b916847d540ec778266e716b43fb3a5072ae3b29c991b2a7adb689474c82762b945c9dff290823aa7990bb3ce754d815
上视纪实人文,http://159.75.85.63:36666/migu/617289997.m3u8?migutoken=5416b1926fa206d2ad4a3586dce86d1f7c169259980294457af4dcb9c3898de402162cfb7eb006f7775de02ccf596f0268740c4d4f1621708860bccf5970401b7e7c1082bc61ec9dc90ef69e58
江苏城市,http://159.75.85.63:36666/migu/626064714.m3u8?migutoken=d3c94b0196507d8428655f70670af2c6ea45199f9498903c5d6debc0584d9de27542068fa7b88633308355101d6bb912e3d2887728edbe6d4b6474df5eae9dc7afffa0f8aef7ac904ae2e25055
江苏国际,http://159.75.85.63:36666/migu/626064674.m3u8?migutoken=e5cdbc320181be4ffc1b1250a5756934063a7c12884680b1a3d2c45216d781a128fc9fc308d44aa5dc05a038e28b483dcb6e48403cb6fd3d715c314da05de3bb20ba3cda346d569e4d0765c199
江苏教育,http://159.75.85.63:36666/migu/628008321.m3u8?migutoken=48117648320d08f36b38555b8e30241ee1809f729b3a1288811d790a1e8ce7c94bbef45d14a861b2d6b4d900f9d3d832944619aeaf3256b4df3c947b08facf86597c36d10009330d28bfb4639c
江苏影视,http://159.75.85.63:36666/migu/626064697.m3u8?migutoken=ae74e65a68b96dba3290d052c5c03011aa51654de1ef85afd8786fddc87c6ac80aacd37d02ed7d9fae948fe16b32721c7bf2d77af3140fa5087227673c5d8976aadc1cfe65af98ce8e3edaa59e
江苏综艺,http://159.75.85.63:36666/migu/626065193.m3u8?migutoken=57a6600f561b12ce4315746648b6edc13d1a5ada2fa8d69191a04b023f75cd36e6096c53938b255454c9fcef2e120e171037e42aebf21e96e438af76164e98dd924557c0035d5de0e623d1ff28
连云港新闻综合,http://159.75.85.63:36666/migu/639731715.m3u8?migutoken=442340bd2e8343b7e09b5dcfa2b92653ed915a4d91cacd28be58448ff854f4060e1de59b2ab87a54d6e2ccc88d4d6ff3564905ce3b7cdccf61f95a76e835388da17285f8c0576e76d6c62b8099
公共新闻,http://159.75.85.63:36666/migu/626064693.m3u8?migutoken=fd16cefb60fe4f64a100345ab24c539d6449858357c41dec5b1a2ae71a7ced1b466941e25258632ea8c84657a68a0f0c21fb88db6cb5dce0689f0ce9ff2a0a7a41944017300e8643b8b0f89c1c
泰州新闻综合,http://159.75.85.63:36666/migu/639731818.m3u8?migutoken=6b622e44400bd6557c11cbe3d77d9b12c6fc75725590b03531b2548c63c336cb567b67bfd0f87d2de7f213ad97925fec354a3971b3d0ce163a20a1a6199c1c3c4fcb1f4b59665a6eed5d1e7311
体育休闲,http://159.75.85.63:36666/migu/626064707.m3u8?migutoken=550d47ddff744b99363256e1369196fceaeeb7e72b863723eb96d4c8cba459e2d7b983e80e1eec9770e9a4e15684f5e102ed3daa999f8afdcaebf44a97a7b8143e7b2c7332634165363a243218
宿迁新闻综合,http://159.75.85.63:36666/migu/639731832.m3u8?migutoken=dff3938f5c3d0f20afce69a352922916a0e4e10e42eaaca00a34488fe8fe75d30818e1067a966780d203d80d555478c4f1f07a2a1e246cd8ae75c231475a814ceed8fd61b63b648462d4cb9917
徐州新闻综合,http://159.75.85.63:36666/migu/639731747.m3u8?migutoken=90e76c7f5071b98c62583057eea444e1ee733e5a8b97f9ffbc2634603c2bdf0c306468e52ef830034b7d9d90241e1e6a70030376d3c2e0f1dc450f294abbfbec2841f19503bef948cf6be9dec2
临洮电视,http://159.75.85.63:36666/migu/668225749.m3u8?migutoken=31c6144d68aea4e449475278e7f2af581a8b6fdd74a4db278215c49b8e0ff674a7442d05e43910b9f9d069e2ce4542e281b3daea3ed9abb6628188f1c2b7445d58ced48a49a3598775da42cf63
大片,http://159.75.85.63:36666/migu/629943678.m3u8?migutoken=ef319d94f5d34d74ee46f7fb28107a6a86cc89a1f4986c913284241b4a4831bd4fa486f5bc7b91938d63150b038cd720d99d56f26a9794e590feeeb29fc46407ff9a5bf35b740dc0e6e938def
经典香港电影,http://159.75.85.63:36666/migu/625703337.m3u8?migutoken=62d3eb9956c492c2f120988df5f4a08d49efd939626d55fa5c1742b10fc1592fd1d25933e42a7abcd6fa5fb8db24bff14d74368e8f8e96c24d5663648a3fa72964f505fe76b77c62b1923a0c44
军事迷必看大片,http://159.75.85.63:36666/migu/617432318.m3u8?migutoken=993509e842ea8df4e78169fd11b3768d93d3b14cd66b0814eead9c10f75e18992ae0318553efc303a95a9bb9c905eda02e514467c2aa4d76fad622522ea483a690789011ee6f08261e411bfb6e
新片放映厅,http://159.75.85.63:36666/migu/619495952.m3u8?migutoken=272985870ed51a17dd42785b5ec8ac3a7de999b22533d1f61c414cfb9fbcf024f94661d1e0d07943e546e694b2d048ac2cfe1c07ce4138685876e7d957068fe3a5f42e0cbd49160a08dcbed7b6
chc动作电影,http://159.75.85.63:36666/migu/644368714.m3u8?migutoken=984dd2467c7a46d55ece8d4447d0e246f86be32ffee1e5ac9a42142469dd2de3dc91b6e573feadc590bf395c232a65a090a11592ee96df4547ae380de8cf90396ffcb6987c72ea4d395339f813
chc家庭影院,http://159.75.85.63:36666/migu/644368373.m3u8?migutoken=299cdea9d520b3ae4f6ceddd0b5ce677abea99b9395d810322f86c2f20b6a88be38a8d7303bac3169ab76f7b888acd52a3279d70eab265ffa980e01e291aa7f091d6addba7ee6ff13c894d5350
南方影视,http://159.75.85.63:36666/migu/614961829.m3u8?migutoken=d12e31663cac0bca0d813e7e467cd308d6fc42ec1103bebd3a947bc658c070b437a7319d60748d991dc87c7a825d145552b8b8f0288d62d0d4fb57deb3c7560a4ef9f67e255c822a6d1bdf1781
红色轮播,http://159.75.85.63:36666/migu/713600957.m3u8?migutoken=9264288ab63d8533938d62f1f738c1c338be29fa02c50add403fac3e391c094af6d179e8ed00ae43e4c5a936875d2ad8edb4cbb6d057e586c98320dfa22a18b6326975c22e11cc91ad48d177e2
金色剧场,http://159.75.85.63:36666/migu/713591450.m3u8?migutoken=f8d604102da3e4a80845905452a3d21c6c891efe49940483b03f6ddf660aebf49f29959eef3e172497146ceca3eb5fc8b71f999bb6cbbd82bb1879862017b2a1c828bba8a71f19a3906d376e77
nba经典,http://159.75.85.63:36666/migu/788815380.m3u8?migutoken=6fbaa86d0b81f9189c0708fbcdfec826026d2893bb8ec4f1786706dfac1ceb9857c1fc41dc132c61afb59020a64d2b7683749b6b43a198dd30ad5b0f9c0f91c36899bf66ddd11d657f85f7ea31
五大联赛经典,http://159.75.85.63:36666/migu/780288994.m3u8?migutoken=7410c9b816ec8411cc533c7fa133be5d89c3f4cbce50a306156adcb3628fa61a5f110a096ee6f344f073be192685936ba8fd6184e3a6c09fee5716d1612108985f9c8d1d21bef90473cbcf1036
中国足球风云,http://159.75.85.63:36666/migu/788816794.m3u8?migutoken=e291ffe1f4bc1c3fa46a44963b2640d73d09556d48b9870f2aa5fcc1c1856cd3bed8205a9a90b841b13d077cbc079add9a9d1220358ffa37b5d1792d50fe3b0155096471409a2dfa29ef6190d2
赛事最经典,http://159.75.85.63:36666/migu/646596895.m3u8?migutoken=c69afa5cc83594814f36427a423b3e120524dc2e8a07ba110e5e3be812378ef0aa3438ca664003911c675bb129a34050b1920ac34f24d009696f974216566e136d6e1f2b340937a758bf82f076
掼蛋精英赛,http://159.75.85.63:36666/migu/631354620.m3u8?migutoken=89eff51a683f53c6c9ef79d0d9e0fac5bf8f88966c39c35e13920557e637b087b90748e8e872a32daa2fe81c69eb4dd445a2f13b872627007373c66f36da7eb9ce392148b0fa2a49a407ff7877
体坛名栏汇,http://159.75.85.63:36666/migu/629943305.m3u8?migutoken=5bd08c5e8d8576c45c3f9dbf33dff88023ef7f3bc84ff19aefe3704812595ea2ffda2f8f30f02e19c1d01315e22abf73cb636053815a0010cf7a58d5d9d6b36ea18f2c09435d952ab46ad63b05
四海钓鱼,http://159.75.85.63:36666/migu/895358641.m3u8?migutoken=9818e52e79a4203004be09728900d587b86fd4f6ef5573cba0140a9bac282e3f2b0fddee114ec73bd07c4bc30903d41ec3f4351a99dadc84c88b44cce790cdb6fa091c7229cb2a7bcc3185fba8
24小时体育,http://159.75.85.63:36666/migu/654102378.m3u8?migutoken=0e1594227603da77e6a1b8d1cef1be8b61bd1c390b03d3393ff717d1e67f55864acc08cc7feefc17e8b90a18d356f4e8d69ce6ac846c09d9bc82f948ac4d3735cb28789b972353df9140fa1215
cetv1,http://159.75.85.63:36666/migu/923287154.m3u8?migutoken=7702e81c07a32f41e5de6ee5fd7ef92726cc0ba1f5d506b9ff6ff9d6682948270827d6665a27efb3142a886abd899ae339cbfe2482e04d561b652f768e4107c2394bdccc0b247dfcb0ea650c45
cetv2,http://159.75.85.63:36666/migu/923287211.m3u8?migutoken=a07f322cf5bfbec0348e3aead4d37ada80378e6034baa4ff1751d461138ade5d189d14738774331941fdfbb405487a29fc818d56c06576a49f157e408000ec1920d6e016c4b3b64b8776e85093
cetv4,http://159.75.85.63:36666/migu/923287339.m3u8?migutoken=8b24364dfe1266aa9eaa3155c71fb72c4c0bc3bb8192b26dc8e2133d4919d0c28f758791b38eceac40a560a9cdda5b3412caea6b6e1bf850d8422585d487f539649ba9d8a3da4ed45073aef032
汇盛典轮播,http://159.75.85.63:36666/migu/939773601.m3u8?migutoken=f66dd9d4479d6fb1212ef2f9fd3929a0e1d89f2948af7357d4066bee957cfecc30e8d1405cbded90cf44b6308b2efb45bf96bf97948dd6a5c58d37049aee6f0fc388d8a4183fc79e6706c515a1
华语乐坛最强音,http://159.75.85.63:36666/migu/707671890.m3u8?migutoken=6a6a8942c972a056e3566a259facb744e7b0540c5ec20a91be48918cef824264add0b46272b71d884471da87eacf311edc9bafe0369f898518cacd6700798f18dbcb5e34ff779b2aa7bd4d1453
